32,698,Ife Central
32,699,Ife East
32,700,Ife North
32,701,Ife South
32,702,Ifedayo
32,703,Ila
32,704,Ilesha East
32,705,Ilesha West
32,716,Irepodun-Osun
32,706,Irewole
32,707,Isokan
32,708,Iwo
32,709,Obokun
32,710,Odo-Otin
32,711,Ola-Oluwa
32,712,Olorunda
32,713,Oriade
32,714,Orolu
32,715,Osogbo
33,717,Barikin Ladi
33,733,Bassa-Plateau
33,718,Bokkos
33,719,Jos East
33,720,Jos North
33,721,Jos South
33,722,Kanam
33,723,Kanke
33,724,Langtang North
33,725,Langtang South
33,726,Mangu
33,727,Mikang
33,728,Pankshin
33,729,Qua'an Pan
33,730,Riyom
33,731,Shendam
33,732,Wase
34,734,Binji
34,735,Bodinga
34,736,Dange-shnsi
34,737,Gada
34,740,Gawabawa
34,738,Goronyo
34,739,Gudu
34,741,Illela
34,742,Isa
34,744,kebbe
34,743,Kware
34,745,Rabah
34,746,Sabon birni
34,747,Shagari
34,748,Silame
34,749,Sokoto North
34,750,Sokoto South
34,751,Tambuwal
34,752,Tqngaza
34,753,Tureta
34,754,Wamako
34,755,Wurno
34,756,Yabo
35,757,Ardo-kola
35,758,Bali
35,761,Cassol
35,759,Donga
35,760,Gashaka
35,762,Ibi
35,763,Jalingo
35,764,Karin-Lamido
35,765,Kurmi
35,766,Lau
35,767,Sardauna
35,768,Takum
35,769,Ussa
35,770,Wukari
35,771,Yorro
35,772,Zing
36,773,Bade
36,774,Bursari
36,775,Damaturu
36,776,Fika
36,777,Fune
36,778,Geidam
36,779,Gujba
36,780,Gulani
36,781,Jakusko
36,782,Karasuwa
36,783,Karawa
36,784,Machina
36,785,Nangere
36,786,Nguru Potiskum
36,787,Tarmua
36,788,Yunusari
36,789,Yusufari
37,790,Anka
37,791,Bakura
37,792,Birnin Magaji
37,793,Bukkuyum
37,794,Bungudu
37,795,Gummi
37,796,Gusau
37,804,Kaura-Zamfara
37,798,Maradun
37,799,Maru
37,797,Namoda
37,800,Shinkafi
37,801,Talata Mafara
37,802,Tsafe
37,803,Zurmi
